time	reading
1405526008	49.998314
1405526009	49.997498
1405526010	49.996254
1405526011	49.995186
1405526012	49.99395
1405526013	49.992294
1405526014	49.990707
1405526015	49.989395
1405526016	49.988087
1405526017	49.986687
1405526018	49.985409
1405526019	49.984283
1405526020	49.983292
1405526021	49.982464
1405526022	49.981831
1405526023	49.981247
1405526024	49.980881
1405526025	49.98064
1405526026	49.980579
1405526027	49.980816
1405526028	49.981361
1405526029	49.982086
1405526030	49.982788
1405526031	49.983582
1405526032	49.9846
1405526033	49.986034
1405526034	49.988228
1405526035	49.990219
1405526036	49.992657
1405526038	49.994747
1405526039	49.996777
1405526040	49.99902
1405526041	50.000664
1405526042	50.001968
1405526043	50.003002
1405526044	50.003742
1405526045	50.004246
1405526046	50.004555
1405526047	50.004684
1405526048	50.004711
1405526049	50.004673
1405526050	50.004513
1405526051	50.004276
1405526052	50.004097
1405526053	50.004044
1405526054	50.004139
1405526055	50.00425
1405526056	50.004219
1405526057	50.004089
1405526058	50.003452
1405526059	50.00248
1405526060	50.001381
1405526061	49.999973
1405526062	49.998302
1405526063	49.996563
1405526064	49.994736
1405526065	49.992802
1405526066	49.990871
1405526067	49.989037
1405526068	49.987347
1405526069	49.98605
1405526070	49.984917
1405526071	49.983868
1405526072	49.983097
1405526073	49.982815
1405526074	49.98278
1405526075	49.983074
1405526076	49.983646
1405526077	49.984356
1405526078	49.984879
1405526079	49.985275
1405526080	49.985893
1405526081	49.986397
1405526082	49.98658
1405526083	49.98661
1405526084	49.986923
1405526085	49.987488
1405526086	49.987991
1405526087	49.988533
1405526088	49.989254
1405526089	49.98983
1405526090	49.990173
1405526091	49.990589
1405526092	49.9911
1405526093	49.991787
1405526094	49.992279
1405526095	49.992596
1405526096	49.992779
1405526098	49.992779
1405526099	49.992863
1405526100	49.993088
1405526101	49.993458
1405526102	49.993927
1405526103	49.994308
1405526104	49.994534
1405526105	49.994781
1405526106	49.995064
1405526107	49.995308
1405526108	49.995224
1405526109	49.994678
1405526110	49.993797
1405526111	49.992752
1405526112	49.991665
1405526113	49.99054
1405526114	49.989395
1405526115	49.988174
1405526116	49.986778
1405526117	49.985455
1405526118	49.984402
1405526119	49.98373
1405526120	49.983292
1405526121	49.982994
1405526122	49.982594
1405526123	49.982399
1405526124	49.982315
1405526125	49.982197
1405526126	49.982117
1405526127	49.982143
1405526128	49.982182
1405526129	49.982143
1405526130	49.982147
1405526131	49.981827
1405526132	49.981255
1405526133	49.980614
1405526134	49.980232
1405526135	49.979931
1405526136	49.979671
1405526137	49.979259
1405526138	49.978683
1405526139	49.978168
1405526140	49.977741
1405526141	49.977299
1405526142	49.976765
1405526143	49.976181
1405526144	49.975552
1405526145	49.974823
1405526146	49.973946
1405526147	49.973251
1405526148	49.972813
1405526149	49.972656
1405526150	49.972782
1405526151	49.973053
1405526152	49.973244
1405526153	49.973267
1405526154	49.973366
1405526155	49.973816
1405526156	49.974686
1405526158	49.97554
1405526159	49.976437
1405526160	49.97681
1405526161	49.977264
1405526162	49.978065
1405526163	49.978958
1405526164	49.980049
1405526165	49.981709
1405526166	49.98325
1405526167	49.984982
1405526168	49.986702
1405526169	49.988373
1405526170	49.989883
1405526171	49.990978
1405526172	49.991753
1405526173	49.992348
1405526174	49.992558
1405526175	49.992249
